evidence_id,campaign_id,candidate_id,run_id,client_scope,package_name,package_version,version_code,package_pid,runtime_configuration_sha256,graphics_stack_sha256,evidence_kind,evidence_path,evidence_sha256,identity_verification_method,identity_confidence,decision_admissible,created_utc
58ddcac7-5300-40a8-a8a7-e0964b6d951d,overnight-20260910T132518Z-bfd83057,control,run-4dfaa589bcb147a9a0bdcd5ba6ab682d,OFFICIAL_LIVE,com.riotgames.league.teamfighttactics,18.1-5423749,8423749,4020,,,native_runtime_sqlite,/Users/flash/Library/Application Support/TFTMAC/Modes/advanced_diagnostics/Captures/2026-09-10T13-25-20.763Z-e5fb4388-d791-4e8b-b8e4-76bfb8bac07f/TFTMAC_NATIVE_RUNTIME.sqlite,a209ba85773882b79b8147779c406fbb67a12dcb723ba7c4ea7ca3168e651cc8,running package/version + LKG host identity,DIRECT,1,2026-09-10T13:25:56Z
12efdc48-e4e6-4133-ba4b-354f0f3190b8,overnight-20260910T132518Z-bfd83057,control,run-d9ea3854337e4f178372317788f10cce,OFFICIAL_LIVE,com.riotgames.league.teamfighttactics,18.1-5423749,8423749,3738,,,native_runtime_sqlite,/Users/flash/Library/Application Support/TFTMAC/Modes/advanced_diagnostics/Captures/2026-09-10T13-36-25.410Z-0057cbdc-b0e1-4ee7-ac13-4faf8b89c66b/TFTMAC_NATIVE_RUNTIME.sqlite,54b0a767d0b27005bef73dd3ae722de64ed10a8ebf00e655d47b360a0b8f7569,running package/version + LKG host identity,DIRECT,1,2026-09-10T13:40:09Z
9f494907-8686-4f50-96b2-60597fa780fe,overnight-20260910T132518Z-bfd83057,control,run-e2dca4693be44de6ab04e33829a1cde4,OFFICIAL_LIVE,com.riotgames.league.teamfighttactics,18.1-5423749,8423749,,,,native_runtime_sqlite,/Users/flash/Library/Application Support/TFTMAC/Modes/advanced_diagnostics/Captures/2026-09-10T13-40-55.407Z-c78f9d04-4454-4e11-97ab-0a028ede3a1d/TFTMAC_NATIVE_RUNTIME.sqlite,da48594cfd52e0f10639f0cc8ddef901a86a6570cc9f61af1604bf91dffa23a8,running package/version + LKG host identity,DIRECT,1,2026-09-10T13:43:08Z
