id,run_id,observed_utc,dev_core_stopped,emulator_stopped,angle_restored,profile_restored,cache_properties_restored,installed_app_integrity,lkg_integrity,verified,detail_json
1,run-4dfaa589bcb147a9a0bdcd5ba6ab682d,2026-09-10T13:25:56Z,1,0,1,1,1,1,1,0,"{""angle_restored"":true,""cache_properties_restored"":true,""dev_core_stopped"":true,""emulator_stopped"":false,""installed_app_integrity"":true,""lkg_integrity"":true,""native_restore_evidence"":false,""profile_restored"":true,""verified"":false}"
2,run-e2dca4693be44de6ab04e33829a1cde4,2026-09-10T13:43:08Z,1,1,1,1,1,1,1,1,"{""angle_restored"":true,""avd_recovery"":{""journal_present"":false,""restored"":false,""sha256"":""b8cccc257dcc114ae5e6d24149514b7149b7e60a580fb74f79ca343823c28125"",""verified"":true},""cache_properties_restored"":true,""dev_core_stopped"":true,""emulator_stopped"":true,""fallback_emulator_stop"":false,""installed_app_integrity"":true,""lkg_integrity"":true,""native_restore_evidence"":false,""profile_restored"":true,""verified"":true}"
